0/100: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
1/100: 1.000 | 0.500 | 0.500 | 0.500 | 0.500 | 
2/100: 1.000 | 0.333 | 0.333 | 0.333 | 0.333 | 
3/100: 1.000 | 0.500 | 0.500 | 0.500 | 0.250 | 
4/100: 0.800 | 0.400 | 0.400 | 0.400 | 0.200 | 
5/100: 0.833 | 0.500 | 0.333 | 0.333 | 0.167 | 
6/100: 0.857 | 0.429 | 0.286 | 0.286 | 0.143 | 
7/100: 0.875 | 0.500 | 0.250 | 0.250 | 0.125 | 
8/100: 0.889 | 0.556 | 0.333 | 0.333 | 0.222 | 
9/100: 0.900 | 0.500 | 0.300 | 0.300 | 0.200 | 
10/100: 0.909 | 0.545 | 0.364 | 0.364 | 0.273 | 
11/100: 0.917 | 0.583 | 0.417 | 0.417 | 0.250 | 
12/100: 0.923 | 0.615 | 0.462 | 0.462 | 0.308 | 
13/100: 0.929 | 0.643 | 0.500 | 0.500 | 0.286 | 
14/100: 0.933 | 0.600 | 0.467 | 0.467 | 0.267 | 
15/100: 0.938 | 0.625 | 0.500 | 0.500 | 0.312 | 
16/100: 0.941 | 0.647 | 0.529 | 0.529 | 0.353 | 
17/100: 0.944 | 0.667 | 0.556 | 0.556 | 0.389 | 
18/100: 0.947 | 0.684 | 0.526 | 0.526 | 0.368 | 
19/100: 0.950 | 0.700 | 0.550 | 0.550 | 0.400 | 
20/100: 0.952 | 0.714 | 0.571 | 0.571 | 0.429 | 
21/100: 0.955 | 0.727 | 0.591 | 0.591 | 0.455 | 
22/100: 0.913 | 0.696 | 0.565 | 0.565 | 0.435 | 
23/100: 0.917 | 0.667 | 0.542 | 0.542 | 0.417 | 
24/100: 0.920 | 0.680 | 0.520 | 0.520 | 0.400 | 
25/100: 0.923 | 0.692 | 0.538 | 0.538 | 0.423 | 
26/100: 0.926 | 0.704 | 0.519 | 0.519 | 0.407 | 
27/100: 0.893 | 0.679 | 0.500 | 0.500 | 0.393 | 
28/100: 0.897 | 0.690 | 0.517 | 0.483 | 0.379 | 
29/100: 0.900 | 0.700 | 0.533 | 0.500 | 0.367 | 
30/100: 0.903 | 0.710 | 0.548 | 0.516 | 0.387 | 
31/100: 0.906 | 0.719 | 0.562 | 0.531 | 0.375 | 
32/100: 0.909 | 0.697 | 0.545 | 0.515 | 0.364 | 
33/100: 0.912 | 0.706 | 0.529 | 0.500 | 0.353 | 
34/100: 0.914 | 0.714 | 0.514 | 0.486 | 0.343 | 
35/100: 0.917 | 0.722 | 0.528 | 0.500 | 0.333 | 
36/100: 0.919 | 0.730 | 0.541 | 0.514 | 0.351 | 
37/100: 0.921 | 0.737 | 0.553 | 0.526 | 0.368 | 
38/100: 0.923 | 0.744 | 0.564 | 0.538 | 0.385 | 
39/100: 0.900 | 0.725 | 0.550 | 0.525 | 0.375 | 
40/100: 0.878 | 0.707 | 0.537 | 0.512 | 0.366 | 
41/100: 0.881 | 0.714 | 0.548 | 0.524 | 0.357 | 
42/100: 0.884 | 0.721 | 0.558 | 0.535 | 0.349 | 
43/100: 0.886 | 0.727 | 0.545 | 0.523 | 0.341 | 
44/100: 0.889 | 0.733 | 0.556 | 0.511 | 0.333 | 
45/100: 0.891 | 0.739 | 0.565 | 0.500 | 0.326 | 
46/100: 0.894 | 0.745 | 0.574 | 0.511 | 0.340 | 
47/100: 0.896 | 0.750 | 0.583 | 0.521 | 0.333 | 
48/100: 0.898 | 0.755 | 0.592 | 0.531 | 0.347 | 
49/100: 0.900 | 0.760 | 0.600 | 0.520 | 0.340 | 
50/100: 0.902 | 0.745 | 0.588 | 0.510 | 0.333 | 
51/100: 0.904 | 0.750 | 0.596 | 0.500 | 0.327 | 
52/100: 0.906 | 0.755 | 0.604 | 0.509 | 0.340 | 
53/100: 0.889 | 0.741 | 0.593 | 0.500 | 0.333 | 
54/100: 0.891 | 0.745 | 0.600 | 0.509 | 0.345 | 
55/100: 0.893 | 0.750 | 0.607 | 0.500 | 0.339 | 
56/100: 0.895 | 0.754 | 0.614 | 0.509 | 0.333 | 
57/100: 0.897 | 0.759 | 0.603 | 0.500 | 0.328 | 
58/100: 0.898 | 0.763 | 0.610 | 0.508 | 0.339 | 
59/100: 0.900 | 0.767 | 0.617 | 0.517 | 0.350 | 
60/100: 0.902 | 0.770 | 0.623 | 0.525 | 0.361 | 
61/100: 0.903 | 0.774 | 0.629 | 0.516 | 0.355 | 
62/100: 0.905 | 0.778 | 0.635 | 0.508 | 0.349 | 
63/100: 0.906 | 0.781 | 0.625 | 0.500 | 0.344 | 
64/100: 0.892 | 0.769 | 0.615 | 0.492 | 0.338 | 
65/100: 0.894 | 0.758 | 0.606 | 0.485 | 0.333 | 
66/100: 0.896 | 0.761 | 0.597 | 0.478 | 0.328 | 
67/100: 0.897 | 0.765 | 0.603 | 0.485 | 0.324 | 
68/100: 0.899 | 0.768 | 0.594 | 0.478 | 0.319 | 
69/100: 0.900 | 0.771 | 0.600 | 0.471 | 0.314 | 
70/100: 0.901 | 0.775 | 0.606 | 0.479 | 0.324 | 
71/100: 0.903 | 0.778 | 0.611 | 0.486 | 0.333 | 
72/100: 0.904 | 0.781 | 0.603 | 0.479 | 0.329 | 
73/100: 0.905 | 0.784 | 0.608 | 0.486 | 0.324 | 
74/100: 0.907 | 0.787 | 0.613 | 0.493 | 0.320 | 
75/100: 0.908 | 0.789 | 0.618 | 0.487 | 0.316 | 
76/100: 0.909 | 0.792 | 0.623 | 0.494 | 0.325 | 
77/100: 0.910 | 0.795 | 0.615 | 0.487 | 0.321 | 
78/100: 0.911 | 0.797 | 0.620 | 0.481 | 0.316 | 
79/100: 0.912 | 0.800 | 0.625 | 0.487 | 0.312 | 
80/100: 0.901 | 0.790 | 0.617 | 0.481 | 0.309 | 
81/100: 0.902 | 0.793 | 0.622 | 0.488 | 0.317 | 
82/100: 0.904 | 0.795 | 0.627 | 0.482 | 0.313 | 
83/100: 0.905 | 0.798 | 0.631 | 0.488 | 0.321 | 
84/100: 0.906 | 0.800 | 0.635 | 0.494 | 0.329 | 
85/100: 0.907 | 0.802 | 0.640 | 0.500 | 0.337 | 
86/100: 0.908 | 0.793 | 0.632 | 0.494 | 0.333 | 
87/100: 0.909 | 0.784 | 0.625 | 0.489 | 0.330 | 
88/100: 0.910 | 0.787 | 0.629 | 0.494 | 0.337 | 
89/100: 0.911 | 0.789 | 0.633 | 0.500 | 0.344 | 
90/100: 0.901 | 0.780 | 0.626 | 0.495 | 0.341 | 
91/100: 0.902 | 0.783 | 0.620 | 0.489 | 0.337 | 
92/100: 0.892 | 0.774 | 0.613 | 0.484 | 0.333 | 
93/100: 0.894 | 0.777 | 0.617 | 0.489 | 0.340 | 
94/100: 0.895 | 0.779 | 0.621 | 0.484 | 0.337 | 
95/100: 0.896 | 0.781 | 0.625 | 0.490 | 0.333 | 
96/100: 0.897 | 0.784 | 0.619 | 0.485 | 0.330 | 
97/100: 0.898 | 0.786 | 0.622 | 0.490 | 0.327 | 
98/100: 0.899 | 0.788 | 0.626 | 0.495 | 0.323 | 
99/100: 0.900 | 0.790 | 0.630 | 0.490 | 0.320 | 
